"RespID","wgtpop (in 10's)","wgthh (in 10's)","I am happy with my weight {sumax(X16600,C4,X16601,C3,X16602,C2,X16599,C1)}","Household Income {sumax(X85317370,C4.00,X85317368,C14.00,X85317373,C24.00,X85317369,C34.00,X85317374,C44.00,X24925,C54.00,X24935,C67.00,X24938,C87.00,X85317371,C112.00,X85317372,C137.00,X24929,C174.00,X24924,C224.00,X70839,C299.00,X70840,C424.00,X70841,C500.00)}","I am as close to my friend group as I am to my family {sumax(X91585726,C4,X91589417,C3,X91590927,C2,X91588007,C1)}","Faith: Holding to religious faith and belief {sumax(X14833,C2.5,X14834,C1,X14835,C4)}","I am perfectly happy with my standard of living {sumax(X91583243,C4,X91591993,C3,X91592876,C2,X91586625,C1)}","Politics {sumax(X61206,C1,X61209,C2,X61208,C3,X61210,C4,X61207,C5)}"
85001W858572JXY,147,147,2,87,1,1,1,5
85001W8585CZ6WZ,70,70,3,34,3,2,1,3
85001W8585JKE44,205,68,1,44,3,2,3,4
85001W8585KNE8C,1257,627,2,224,1,1,3,5
85001W8586WP1U6,223,113,2,224,2,1,3,4
85001W8587BWM7P,390,196,3,112,4,1,2,5
85001W8587DC76R,1303,436,3,67,3,4,2,3
85001W8587WQA5W,131,66,3,112,2,4,3,2
85001W8589SU5TB,318,80,3,54,2,4,4,2
85001W8589VZMW7,70,35,3,137,2,1,3,4
85001W858B1SZFK,227,228,2,87,3,1,2,4
85001W858CEBH9V,91,30,3,112,3,2,3,3
85001W858DEQNJS,129,65,3,87,2,1,2,5
85001W858DH3V7G,70,70,1,54,1,2,3,3
85001W858EEB3FZ,238,119,4,174,2,4,4,5
85001W858F6NRNG,471,235,2,44,2,1,2,3
85001W858F88VV4,556,554,1,112,3,1,3,3
85001W858FF3EJS,171,86,4,299,4,4,3,2
85001W858GFWEAD,157,79,2,4,4,2,4,5
85001W858H9MTAJ,910,914,3,14,2,1,3,2
85001W858HQ1JTX,70,36,4,224,3,2,4,2
85001W858JQWP1C,177,89,2,112,4,1,3,4
85001W858KEREK2,3214,539,4,112,3,4,3,3
85001W858KGKTKM,81,42,3,67,3,1,4,1
85001W858KYA1G2,70,36,2,34,3,1,3,5
85001W858M1AVPX,221,111,2,24,2,1,2,1
85001W858M5CF66,898,298,3,54,2,4,4,3
85001W858NAKQAC,136,135,3,87,3,4,3,3
85001W858P2G2AD,275,69,4,224,4,4,4,5
85001W858PNZ56D,278,138,2,87,4,1,2,3
85001W858R37K5Z,89,30,2,424,3,1,3,5
85001W858TS7WVA,520,174,3,67,3,2,2,4
85001W858UF1HPR,118,40,3,112,2,4,3,3
